Panel	Test_type	Era_Comparison	Test_name	N_Historical	N_Modern	Statistic	P_value	Significance	Notes
Upper	Within-era	Historical (4 HTF groups)	Chi-square goodness-of-fit (H0: uniform 25% each)	38 total	—	X2=0.947, df=3	0.814	ns	Are the 4 HTF groups (1803,1245,1383,1830) equally frequent within the era?
Upper	Within-era	Modern (4 HTF groups)	Chi-square goodness-of-fit (H0: uniform 25% each)	—	1312 total	X2=607.067, df=3	2.96e-131	***	Are the 4 HTF groups (1803,1245,1383,1830) equally frequent within the era?
Middle	Within-era	Historical (OBC+/-)	Two-sided exact binomial (H0: OBC+ = 50%)	38 (21 OBC+, 17 OBC-)	—	p=0.6271, 95%CI=[38.3,71.38]%	0.6271	ns	Is OBC+ significantly more/less common than OBC- within the era?
Middle	Within-era	Modern (OBC+/-)	Two-sided exact binomial (H0: OBC+ = 50%)	—	1312 (1098 OBC+, 214 OBC-)	p=2.275e-143, 95%CI=[81.58,85.65]%	2.275e-143	***	Is OBC+ significantly more/less common than OBC- within the era?
Middle	Between-era	Historical vs Modern (OBC+/-, full dataset)	Fisher's exact test (full cohort)	21/38 OBC+	1098/1312 OBC+	OR=0.2411	5.081e-05	***	Overall OBC+ shift between eras; unadjusted for n imbalance
Middle	Between-era (downsampled)	Historical vs Modern expected n=38	Fisher's exact test (expected-value, Modern downsampled to n_Hist)	21/38 OBC+	32/38 OBC+ (expected)	OR=0.2363	0.01163	*	Corrects for n imbalance using deterministic expected counts
Middle	Between-era (robustness)	Historical vs Modern (repeated downsampling n=38, 1000 draws)	Fisher's exact test (repeated random downsampling robustness)	21/38 OBC+	1098/1312 Modern pool	median p=0.011632; prop p<0.05=85.2%	0.01163	*	Robustness: consistently significant across all random Modern subsamples?
Lower	Within-era	Germany Historical (OBC+/-)	Two-sided exact binomial (H0: OBC+ = 50%)	8 (2 OBC+, 6 OBC-)	—	p=0.2891, 95%CI=[3.19,65.09]%	0.2891	ns	Is OBC+/- evenly split in Germany Historical isolates (n=8)?
Lower	Within-era	Germany Modern (representative n=8 draw, OBC+/-)	Two-sided exact binomial (H0: OBC+ = 50%)	—	representative n=8: 6.7 OBC+ / 1.3 OBC- (same as simple lower panel plot)	p=0.07031, 95%CI=[47.35,99.68]%	0.07031	ns	Modern representative draw: round(6.7)=7 used for binom.test; floating values same as plot
Lower	Downsampling variance (no cross-era comparison)	Modern pool (n=8 per run, 1000 runs)	Two-sided exact binomial within each downsampled run (H0: OBC+ = 50%)	—	1312 Modern pool, n=8 drawn per run	binomial median p=0.0703; prop runs p<0.05=21.9%	0.0703	ns	Shows sampling variance at n=8; no cross-era comparison performed
